Column1,Column2
0.102371,194180
0.102383,195640
0.10239,197100
0.102396,198560
0.102402,200020
0.10241,201480
0.102416,202940
0.10243,204400
0.102449,205860
0.102455,207320
0.102463,208780
0.102474,210240
0.102488,211700
0.102502,213160
0.102509,214620
0.102513,216080
0.102521,217540
0.102541,219000
0.10256,220460
0.108142,221920
0.108151,223380
0.108171,224840
0.108179,226300
0.108184,227760
0.108197,229220
0.108209,230680
0.108215,232140
0.108223,233600
0.10825,235060
0.108262,236520
0.10827,237980
0.108276,239440
0.108288,240900
0.108295,242360
0.108301,243820
0.108321,245280
0.108327,246740
0.108339,248200
0.108352,249660
0.108357,251120
0.108384,252580
0.108396,254040
0.108402,255500
0.108408,256960
0.108422,258420
0.108429,259880
0.108435,261340
0.108442,262800
0.10845,264260
0.108495,265720
0.108507,267180
0.108526,268640
0.10854,270100
0.108553,271560
0.108564,273020
0.10857,274480
0.108577,275940
0.108584,277400
0.108597,278860
0.108603,280320
0.108617,281780
0.10863,283240
0.108638,284700
0.10865,286160
0.108656,287620
0.10867,289080
0.108688,290540
0.108692,292000
0.108702,293460
0.108716,294920
0.108721,296380
0.114149,297840
0.114176,299300
0.114183,300760
0.114189,302220
0.114197,303680
0.114216,305140
0.114222,306600
0.114248,308060
0.114267,309520
0.114275,310980
0.114281,312440
0.114286,313900
0.1143,315360
0.114306,316820
0.114327,318280
0.114343,319740
0.114353,321200
0.114365,322660
0.114378,324120
0.114384,325580
0.11439,327040
0.114398,328500
0.114422,329960
0.11443,331420
0.114449,332880
0.11446,334340
0.114467,335800
0.114473,337260
0.114489,338720
0.114507,340180
0.11452,341640
0.114527,343100
0.114533,344560
0.114546,346020
0.114565,347480
0.114591,348940
0.114599,350400
0.114605,351860
0.114612,353320
0.114618,354780
0.114624,356240
0.114632,357700
0.114644,359160
0.11465,360620
0.114658,362080
0.11467,363540
0.114677,365000
0.114684,366460
0.11469,367920
0.114694,369380
0.114702,370840
0.11471,372300
0.114729,373760
0.114741,375220
0.114749,376680
0.114755,378140
0.114767,379600
0.114793,381060
0.114799,382520
0.114805,383980
0.114812,385440
0.114826,386900
0.114838,388360
0.11485,389820
0.114855,391280
0.114864,392740
0.114871,394200
0.114897,395660
0.114911,397120
0.114917,398580
0.120157,400040
0.120168,401500
0.120182,402960
0.120189,404420
0.120217,405880
0.120229,407340
0.120235,408800
0.120242,410260
0.120267,411720
0.120283,413180
0.120288,414640
0.120295,416100
0.1203,417560
0.120308,419020
0.120327,420480
0.120348,421940
0.120354,423400
0.120366,424860
0.120378,426320
0.120385,427780
0.120389,429240
0.120399,430700
0.120405,432160
0.120424,433620
0.120433,435080
0.120439,436540
0.120445,438000
0.120451,439460
0.120457,440920
0.120489,442380
0.120496,443840
0.120502,445300
0.120508,446760
0.120516,448220
0.120522,449680
0.12053,451140
0.120543,452600
0.120548,454060
0.120554,455520
0.12056,456980
0.120594,458440
0.120598,459900
0.12062,461360
0.120627,462820
0.120633,464280
0.120639,465740
0.120647,467200
0.120666,468660
0.120684,470120
0.120698,471580
0.120704,473040
0.120709,474500
0.120718,475960
0.120724,477420
0.120731,478880
0.120737,480340
0.120758,481800
0.120791,483260
0.120797,484720
0.120816,486180
0.120836,487640
0.120861,489100
0.120875,490560
0.1209,492020
0.120906,493480
0.120914,494940
0.120926,496400
0.120932,497860
0.120938,499320
0.12095,500780
0.120963,502240
0.120976,503700
0.120989,505160
0.120995,506620
0.121001,508080
0.121008,509540
0.121014,511000
0.121022,512460
0.12104,513920
0.121054,515380
0.12106,516840
0.121067,518300
0.121079,519760
0.121085,521220
0.121098,522680
0.121118,524140
0.121122,525600
0.12113,527060
0.12115,528520
0.121156,529980
0.121163,531440
0.121176,532900
0.121183,534360
0.12119,535820
0.121208,537280
0.126164,538740
0.126177,540200
0.126191,541660
0.126205,543120
0.126218,544580
0.126224,546040
0.12623,547500
0.126239,548960
0.126257,550420
0.126278,551880
0.12629,553340
0.126297,554800
0.126302,556260
0.126316,557720
0.126325,559180
0.126345,560640
0.126357,562100
0.126378,563560
0.126384,565020
0.12639,566480
0.126412,567940
0.126421,569400
0.126441,570860
0.126465,572320
0.126486,573780
0.126498,575240
